LIMIT_BAL,AGE,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,label
50000,41,19015,19294,20259,20274,1340,1305,700,718,0
30000,24,18199,17618,18631,21319,0,1312,3000,0,1
240000,28,326,326,326,5676,326,326,5676,476,0
80000,26,14029,15493,16630,17055,2000,1700,1000,1000,1
400000,34,19660,9666,11867,7839,9677,11867,7839,14837,0
240000,38,50254,51445,53015,52479,2000,3000,3000,1307,0
50000,37,46004,45976,48953,48851,1000,4035,1000,1400,1
450000,40,0,0,0,0,0,0,0,0,1
110000,48,0,0,0,0,0,0,0,0,0
310000,35,304991,311243,306314,258610,13019,11128,8407,8599,1
20000,27,19115,18962,19298,19378,1404,1130,600,861,0
20000,23,0,0,0,0,0,0,0,0,0
200000,52,110151,99530,98951,100914,3568,3585,3602,3848,0
180000,36,163736,116422,99278,95766,4655,2690,2067,2142,1
50000,51,3347,3899,4503,5347,1000,1066,1300,1500,1
60000,55,60521,61450,57244,28853,2504,7,1200,1200,0
30000,23,4000,5645,3508,-27,5645,3508,27,13771,0
240000,41,95,2622,3301,3164,2622,3301,0,360,0
420000,34,253454,247743,229049,220951,9744,9553,7603,7830,0
330000,46,227389,228719,229644,227587,8210,8095,8025,8175,0
30000,22,28452,26145,26712,25350,2000,1400,0,500,0
240000,34,10674,12035,13681,13269,1500,1800,0,1000,0
150000,27,17444,19342,22000,24614,2500,3000,3000,3000,0
210000,33,7166,7997,8792,9189,1500,1500,1000,500,0
50000,51,752,300,5880,0,300,5880,0,0,1
50000,24,50801,50143,49586,19430,2360,1700,1000,900,0
240000,47,0,0,0,0,0,0,0,0,1
180000,28,1832,0,832,332,0,416,332,500,0
50000,23,10131,10833,20583,19996,1000,10000,400,700,0
170000,29,12159,10000,10000,10000,10000,10000,10000,9983,0
20000,29,1199,15586,344,2340,15586,344,2340,4702,0
50000,28,4999,5913,7315,9195,1000,1500,2000,1583,0
170000,27,19269,20313,20852,17560,1661,1200,351,358,1
200000,34,197236,176192,93069,135668,8000,5000,55500,5000,0
80000,23,9168,10522,10205,9898,1650,0,0,379,0
260000,60,-1100,-1100,21400,0,0,22500,0,969,0
140000,32,86627,78142,68336,64648,3455,3110,5000,0,0
80000,25,42444,55744,43476,41087,30000,3000,6000,8000,0
350000,41,208,2906,1000,630,2906,1000,630,0,0
280000,56,208775,182350,132257,101783,8042,6700,5137,100000,0
30000,26,9014,10406,11427,11935,1700,1500,1000,1500,0
140000,34,23944,28049,32073,43129,5000,5000,11885,5000,0
200000,37,105420,102870,89643,90938,4000,3250,3250,3500,0
200000,30,196031,196143,189524,167163,7300,7108,7680,6200,0
210000,45,115785,122904,129847,137277,10478,10478,11078,11078,1
50000,57,12854,12362,13447,13427,0,1600,500,500,0
30000,41,24357,27453,26718,28168,3500,0,2200,0,0
50000,27,390,390,780,216,390,780,216,864,0
290000,47,1234,396,396,792,396,396,792,0,0
250000,34,141223,156858,151841,152803,17994,0,5469,5656,0
60000,46,21148,23803,24908,26034,3000,1500,1500,1000,0
110000,27,101640,104795,104855,74737,5500,3900,3000,2900,0
370000,50,6093,15130,8204,15398,15383,8204,15413,4792,0
100000,27,102349,96847,58824,29336,3166,0,1330,1398,0
90000,35,72112,73854,75526,77317,3500,3500,3652,10000,0
50000,22,28040,29092,29366,27737,1510,1442,982,1017,0
270000,37,37695,33397,30534,27598,5000,2000,3000,4000,0
300000,30,688,3280,0,4340,3288,0,4340,2672,0
50000,22,8567,15273,11650,7457,15000,1000,149,0,0
50000,24,-709,-709,-709,-2898,0,0,0,0,1
360000,29,0,0,77,0,0,77,0,0,0
130000,56,64617,65978,67282,68557,3000,3000,3000,5500,1
80000,30,6187,100,600,1438,504,500,1000,500,0
50000,30,48860,47801,48363,30221,0,1500,1000,2000,0
20000,22,16001,12622,13221,13130,1212,1201,500,1500,0
80000,29,77883,81811,80250,61467,5800,1000,600,400,0
240000,37,12212,26578,25331,26605,15000,0,2000,0,0
80000,35,49608,12412,14873,17364,12500,6500,3000,2000,0
500000,47,56422,110616,110340,122967,70010,30357,30000,20000,0
60000,24,58024,57891,48839,18971,2500,1600,3000,1000,1
20000,25,10642,11677,13070,12280,1200,1593,601,135,0
100000,38,14483,13961,15323,16268,0,1600,1500,0,1
360000,32,2616,57077,5287,68445,57087,5295,68454,13889,0
200000,47,199436,202947,193936,196186,8214,7000,6800,7134,1
130000,34,0,5396,10270,13576,5396,5000,3500,501,0
20000,31,21703,21087,21461,20835,0,1000,0,0,0
310000,32,59901,62147,62102,65875,10020,6031,10057,5028,0
60000,27,19625,20347,21669,23005,1342,1664,2000,0,1
180000,29,11386,199,0,0,199,0,0,17227,0
180000,24,14670,22087,21282,10200,37867,0,200,0,0
50000,36,47790,18114,18250,-14,2000,1000,2000,500,0
50000,24,36166,37188,37680,38462,1900,1400,1700,1532,1
150000,34,0,0,0,116,0,0,116,0,0
20000,22,18553,19446,19065,8332,1500,1032,541,20000,0
500000,34,412,138,2299,1251,138,2299,1251,1206,0
30000,22,29010,29256,28122,29836,1000,85,1714,104,1
180000,38,750,0,0,0,0,0,0,0,0
140000,31,27123,27299,17985,20225,25000,0,3000,7800,0
140000,26,13424,18000,13001,5818,10000,13001,5841,13506,0
120000,26,107314,110578,113736,116000,5000,5000,4152,5000,0
360000,48,226430,231878,234192,190211,9100,7300,5800,5600,0
20000,43,227,20351,20237,19339,22359,1305,1258,1459,0
100000,47,390,1473,390,390,1473,390,390,390,0
210000,41,3088,1586,343,3763,1586,343,3763,877,1
80000,24,81625,81554,79599,49552,3200,3000,2038,2000,1
330000,50,8872,4337,2854,1690,4345,2854,1702,0,0
220000,24,105607,108917,111520,8303,5000,5050,8303,0,0
210000,38,0,0,250,123,0,250,0,789,1
40000,43,38257,38901,38103,36207,1700,1504,1200,1500,0
30000,39,28347,28108,18388,12992,3036,2309,0,1000,0
470000,27,296573,303320,307843,479978,13000,11001,0,10484,0
30000,42,390,390,390,240,390,390,240,1470,0
240000,36,-946,-946,-946,-946,0,0,0,0,1
80000,36,79278,78501,78534,80016,3100,3500,3400,3000,0
110000,31,89989,84229,79288,73315,4000,5000,3000,3000,0
310000,38,1424,4542,126,0,4542,126,0,0,0
360000,40,105167,115468,112157,114690,12000,0,5900,5000,1
330000,45,335196,334954,335527,333860,12388,12378,12116,12450,0
300000,35,291619,297268,205629,215827,12019,9006,17000,12000,0
320000,33,91653,94037,108597,65913,10042,18832,2117,2076,0
50000,37,52626,51537,49205,30394,0,24,1500,1000,1
170000,28,130370,131199,128900,125514,6530,4860,22500,4820,0
350000,44,3265,2686,1864,569,2686,1864,569,0,0
20000,37,16455,16511,18902,18768,1609,3000,663,676,0
50000,23,49758,48456,44116,21247,2401,2254,2004,704,1
20000,24,19154,18165,17233,7630,0,1333,500,100,0
50000,24,35084,35796,30937,19420,2090,2002,1002,238,0
20000,23,20235,17132,16856,16875,0,1200,1000,0,1
50000,26,102800,0,0,2624,0,0,2624,45567,0
190000,34,129801,131383,134379,142323,5000,5000,10000,0,1
60000,33,58203,36367,20934,20694,1506,1298,1000,721,0
80000,35,7988,3977,6848,1719,3983,6853,1719,1378,0
150000,27,127402,110050,51547,44384,4500,1745,1566,1208,0
210000,31,1440,0,7422,893,0,7422,893,6082,0
240000,50,234205,231669,214642,207642,10116,9150,8008,8000,1
140000,41,19346,21708,22940,19068,3000,2000,2198,1000,1
60000,28,21501,20650,0,0,0,0,0,0,0
50000,39,47174,47974,48630,50803,1800,2000,3000,2000,0
50000,27,26655,27724,28676,27990,1800,1750,900,1200,0
180000,32,3139,5853,2821,0,2821,0,0,2821,0
30000,40,142,215,139,19,355,120,0,0,0
20000,40,19816,20396,20102,19575,1601,2203,2114,0,0
250000,75,52874,1631,1536,1010,1631,1536,1010,5572,0
100000,27,37767,34457,30036,30337,1788,1799,1100,1150,0
330000,25,46140,45781,48139,51137,2504,4007,5056,74,0
50000,46,35713,15392,16099,16418,1561,1268,587,611,0
50000,26,50867,51486,48869,30115,1710,136,1206,2002,0
30000,28,29242,29507,29155,25255,5006,1244,851,955,0
140000,26,101551,105246,104781,105334,5366,5087,3605,3894,1
160000,28,70243,47779,28052,7222,7042,2000,1000,99669,0
400000,29,19532,3719,1453,4944,3127,1469,4968,1905,0
50000,25,27699,28513,29341,29928,1565,1393,980,994,0
140000,48,1154,1233,862,1355,1233,1075,1355,1130,0
160000,33,8015,2453,9624,52572,2453,9880,52572,1546,0
100000,43,62170,0,0,0,0,0,0,0,0
220000,48,210380,213522,201852,169115,10000,9020,6000,5500,1
510000,29,78331,99414,107686,103776,40010,20094,5000,5001,0
50000,29,49276,35100,32563,27823,1602,1400,3000,3130,0
160000,38,4473,4664,5969,18941,4664,5969,18941,0,0
230000,37,2283,50815,0,0,51315,0,0,299,0
80000,37,10115,249,5986,188,258,5995,188,1644,0
150000,25,6156,0,0,316,0,0,316,316,0
10000,23,6974,7838,9002,9182,1134,1298,478,847,0
130000,49,89003,91362,72197,49654,4100,3095,1630,561,1
40000,48,34871,34449,33634,34586,1600,1600,1500,1500,0
50000,27,13694,14880,14242,13968,1700,0,426,501,1
100000,32,70003,31545,20974,19713,2035,2004,616,2007,0
120000,34,1082,632,1350,900,0,1350,0,0,0
260000,58,0,0,0,0,0,0,0,0,1
200000,33,11253,12852,14024,14512,2000,1322,2000,2000,0
360000,28,0,0,0,0,0,0,0,0,1
70000,36,68699,69120,68376,30163,4483,12496,3268,3000,0
460000,40,171,2715,-13,2641,2728,0,2654,0,1
50000,26,1156,316,316,316,316,316,316,316,0
50000,33,50859,50462,50654,20046,2007,2199,691,707,0
250000,31,103109,102594,97109,99029,4000,4500,5000,4000,0
30000,27,1512,2458,664,1814,1000,664,1500,0,0
270000,44,127543,109189,92630,69669,10063,5162,10150,44299,0
180000,30,163935,153152,147032,122196,7722,6091,3563,3605,0
100000,28,53494,52656,52600,52336,4173,3000,2025,5000,0
230000,32,195126,88743,92195,94814,5000,5000,5000,5000,0
210000,46,110346,41986,21874,20076,41986,21874,20076,16171,0
210000,38,60502,62804,62769,62683,3276,2026,2000,2000,0
440000,46,180641,181557,149944,113135,8610,6907,3727,3800,0
100000,25,70896,71678,70125,69856,3472,2092,2000,2127,1
240000,46,8751,9900,10605,10765,1295,1000,1000,1000,0
280000,33,898,898,325,898,898,325,898,325,1
50000,22,0,0,0,0,0,0,0,0,1
30000,43,1700,2610,1914,2182,1100,0,300,0,0
10000,27,7015,10227,9560,9901,3507,0,500,370,1
130000,29,0,0,0,0,0,0,0,0,0
200000,31,194353,197344,186292,133345,9000,7465,4715,4804,0
120000,29,1686,657,2179,1423,657,2319,1423,0,0
210000,36,143225,142996,144415,148190,6483,5082,6000,5900,0
280000,36,58983,60788,63225,29701,2755,3463,1300,1100,0
300000,34,0,0,13001,12601,0,13001,0,19595,1
100000,37,99209,98222,67185,66926,3490,2332,2314,2365,0
440000,36,0,0,0,0,0,0,0,0,0
50000,40,49941,51213,12104,12898,2400,1206,1000,1000,0
20000,25,11968,14564,27820,15824,2800,0,4000,1700,1
200000,27,871,665,960,4242,665,960,3908,1014,0
110000,26,432,3220,5704,1256,3220,5904,0,3000,0
500000,36,10483,23956,0,8500,23962,0,8500,4590,0
300000,27,0,5215,0,0,5215,0,0,0,0
30000,55,9720,10613,11339,12841,1200,1200,2000,1500,1
60000,27,20847,13801,14366,4889,13809,14583,4889,273,0
400000,38,3697,3600,1354,5322,1000,1354,5322,6,0
180000,34,143301,146333,147042,127814,7000,5000,5000,4900,0
20000,40,10934,13738,16567,10411,3000,3100,0,3000,0
200000,49,52439,51040,56205,54723,0,6000,0,5000,1
100000,27,55734,52557,33415,28776,1631,1286,200,645,0
60000,23,49507,33282,34312,17277,1970,2000,618,809,1
110000,36,47819,48947,50330,50894,2200,2500,2000,2100,0
260000,53,0,165,526,452,165,526,452,397,0
50000,46,48522,50955,29516,29742,3754,1,1070,1030,0
180000,29,-2,-2,-2,-2,0,0,0,0,0
110000,29,58362,56598,51908,48647,2500,0,2000,2000,1
340000,27,172180,180140,166281,155628,21105,5461,5000,5849,0
50000,24,1399,2441,3865,7476,1070,1500,3666,2477,0
230000,28,26361,18826,1100,2100,1710,1100,1000,767,1
360000,32,93029,94054,91834,95631,10000,7000,10000,10000,0
210000,43,0,0,38013,40555,0,38013,3000,5000,0
220000,41,650,650,325,950,325,0,950,0,1
60000,34,24898,27976,27233,30184,3800,0,3720,0,1
340000,55,50396,44665,8300,2190,44665,8321,2190,24599,0
150000,40,99855,102586,100064,104975,5200,0,8100,4000,0
200000,37,-179,505,189,6773,1000,0,6900,24000,1
130000,40,9559,12394,11883,9826,3000,0,500,500,1
60000,28,10540,10232,11237,11427,0,1483,673,10000,0
400000,43,0,0,0,0,0,0,0,1600,0
20000,27,20571,19089,19658,19453,1323,1600,830,700,0
190000,28,143464,146943,151905,153538,5795,7408,5645,5753,0
260000,30,156882,160246,159988,158114,10000,8000,6000,7000,0
140000,31,390,0,0,0,0,0,0,0,0
50000,31,46512,47716,49675,30929,1974,4406,1061,1073,1
120000,34,882,6531,6313,1100,6900,5037,1100,1330,0
240000,30,92,92,92,0,92,92,0,92,0
50000,36,5916,6172,4123,680,1212,1200,0,978,0
200000,29,2393,183,4847,20183,0,4872,20183,5000,0
180000,39,274731,281713,242063,122295,11000,145000,26000,0,0
180000,26,145403,138232,130553,105894,5440,5051,3835,4106,0
160000,29,3097,-707,-2697,2303,0,0,5000,5000,0
100000,26,1370,4192,4159,3542,4210,4159,1000,1080,0
50000,29,47081,49316,50409,45545,3000,2000,2000,2000,1
140000,31,138119,137950,140254,139679,6600,6500,5100,5300,0
30000,26,17893,19012,20123,20222,1411,1522,621,795,1
90000,26,39128,20473,1940,1940,1541,4200,0,0,0
200000,36,-14386,-13543,3432,-3684,10118,47015,0,4000,0
380000,30,0,0,0,0,0,0,0,0,1
80000,43,77057,78102,58501,51042,3177,2600,3000,1691,0
50000,58,15899,18720,18122,18530,3400,0,1000,1001,0
180000,45,27679,28422,29650,29981,1481,2000,1100,1200,1
240000,26,141315,128940,124226,113133,6349,5834,3870,4000,0
380000,34,194314,179206,193992,174675,9010,35000,5000,6000,0
110000,24,83755,77431,79044,80631,3000,2900,2900,3000,0
260000,34,49657,291,51058,2351,291,51058,35696,34039,0
500000,23,507726,509229,499936,505507,10000,0,14000,16500,1
320000,30,71305,71151,72029,72849,2589,2568,2570,2661,0
50000,32,45734,44741,43562,44039,0,0,1262,1358,0
110000,40,0,0,2066,2000,0,2066,0,216,1
230000,35,761,300,399,665,300,399,665,576,0
330000,56,-9,1520,1488,0,1529,1507,0,3965,0
50000,61,47166,49396,50476,23319,3000,2237,975,1000,0
10000,24,2887,1923,2989,2813,0,1500,0,0,0
300000,40,0,0,0,0,0,0,0,0,0
20000,32,20631,20010,19703,11084,0,1168,384,390,1
180000,36,83538,0,0,0,0,0,0,0,1
160000,30,99,2977,15086,8578,2977,15086,9123,13028,0
90000,34,34302,35089,43449,42451,1640,9000,0,8000,0
30000,54,22987,22298,22352,23221,2500,2000,1500,4000,0
180000,46,173267,174590,175233,106288,8100,5299,3305,5040,0
30000,58,19143,20168,21229,21495,1640,1700,915,800,0
30000,43,20518,19901,20905,21509,0,1342,946,4200,0
140000,28,10833,14446,7609,4991,14000,3855,4991,3600,0
210000,30,69937,71906,43308,44584,3500,3000,2000,4000,0
50000,31,20526,15129,15093,9577,2000,3000,327,3000,1
130000,29,89055,90780,70947,72367,4200,2575,2600,2674,0
50000,37,1894,3200,3381,3559,1500,400,200,500,1
140000,36,100594,78372,91502,90859,3000,30000,4000,4000,0
170000,28,2948,3848,5646,5464,1105,1903,0,296,1
80000,25,22619,31429,27923,25280,10010,1209,579,0,0
410000,42,338106,342904,344464,240865,15000,14000,9000,8500,0
80000,29,0,80000,0,0,80000,0,0,0,0
80000,73,63144,65631,68875,70646,3500,4330,3500,3500,1
150000,43,153249,154049,156523,159653,7900,6500,5700,5700,0
260000,30,1131,291,582,291,291,582,0,0,1
350000,38,0,0,0,0,0,0,0,0,0
280000,39,-1312,35918,37297,37154,38621,2000,1130,922,1
310000,44,103797,91989,87720,76218,4400,4013,3011,3000,0
140000,29,20110,17102,18862,19996,3000,3000,3000,3500,0
360000,51,38000,25000,0,0,25000,0,0,0,0
140000,27,142428,144105,143952,142590,10000,10000,6000,6000,0
100000,38,40810,42653,42351,43011,2502,1200,860,0,0
50000,22,0,0,0,848,0,0,848,0,0
210000,30,104701,106134,108423,91143,4002,5000,3500,3000,0
120000,25,120298,120822,109887,116313,4007,0,8272,5000,0
240000,29,156362,132280,99174,65372,5233,3289,2072,3018,0
60000,42,41322,29091,28097,28665,1488,1394,962,1500,0
150000,41,1464,2084,384,0,2091,384,0,2344,1
30000,48,27879,28870,27806,25142,1774,1710,1046,1079,0
160000,29,160432,163916,159676,166893,7500,0,11558,5800,1
200000,52,3858,2690,3410,0,2690,3487,0,0,0
120000,25,26476,21393,0,0,6000,0,0,0,0
500000,37,507062,491956,430637,376657,325,15296,12137,12312,0
320000,27,55607,62893,59001,61565,11404,8232,10450,9697,0
280000,31,168382,175646,180650,182672,10000,8000,6371,6217,0
60000,23,29332,28577,30805,31601,0,2709,1600,1400,1
200000,38,190,0,0,367,0,0,367,150,0
230000,32,0,0,2809,4595,0,2809,4606,792,0
230000,27,13668,12647,13135,10596,0,1064,423,313,1
480000,41,14867,26665,199960,9033,26734,199982,9033,19371,0
50000,35,22500,5000,0,0,5000,0,0,0,0
200000,31,7184,14845,1097,0,17507,1102,0,0,0
50000,30,14811,16262,17286,17895,2000,1600,1200,2000,0
50000,48,44338,43048,35639,18753,3629,3332,2000,2000,0
260000,36,0,0,0,0,0,0,0,0,1
30000,24,25265,26354,27710,27959,1500,1800,1007,2500,0
440000,29,169661,167199,158520,156977,8071,9021,7013,6013,0
230000,38,10237,2795,1350,371,2795,1350,371,2980,0
200000,38,104978,105924,102663,97090,4500,0,3500,3500,1
490000,30,192586,197967,201666,205798,10000,7143,7306,6303,0
80000,32,11262,0,0,0,0,0,0,0,0
20000,49,9551,12081,13087,12583,3000,1500,0,3123,1
170000,31,199,199,199,398,199,199,398,0,1
70000,27,70119,68536,66601,29401,3600,1646,600,28468,0
210000,33,212601,177946,119362,117766,6000,4500,5000,3000,0
90000,25,91894,71732,73241,74424,3200,3300,3000,3001,0
390000,27,304867,299998,300426,292869,13007,10612,10041,11000,1
110000,29,48123,49537,50422,50990,2500,2500,2000,2000,0
580000,36,159760,162189,166127,169365,6422,6565,5951,6006,0
360000,55,9210,8485,17231,1770,6015,17454,1775,0,0
270000,32,234752,233036,229286,217644,10000,8000,0,16000,1
60000,27,14072,0,0,300,0,0,300,0,0
110000,37,61807,62499,62162,60605,2300,2200,2300,2200,0
50000,25,51044,50231,46677,44982,2500,3008,1000,761,0
80000,23,77024,73281,57806,37642,3212,1600,956,40000,1
50000,23,350,350,400,1695,350,400,1695,11300,0
100000,32,83831,85586,87289,91451,4000,4037,6500,3500,0
30000,26,0,0,945,0,0,945,0,197,0
200000,27,122923,124653,126355,114881,5704,5930,4000,4003,0
240000,44,246135,231443,234557,200643,12026,9010,7400,8000,1
220000,34,37304,33304,29254,24875,1600,1500,1100,1000,0
160000,28,146433,107604,89902,90983,4500,4400,3000,2400,0
180000,53,46122,1260,29366,5400,1260,29366,54,0,0
200000,42,38564,38246,32253,30384,5000,1485,1956,1500,0
140000,30,96304,98007,82227,65000,4505,12906,0,2210,0
380000,51,0,0,0,0,0,0,0,0,1
600000,53,467150,458862,469703,447130,0,18000,16000,16000,1
260000,37,255691,262736,36638,122388,14000,5022,130000,7000,0
200000,26,156786,179,1443,1443,179,1443,1443,1443,0
80000,42,78129,28202,78553,49340,2500,51432,1800,1800,0
40000,39,40034,36549,17431,15031,2027,1207,301,212,0
130000,39,71034,69329,74175,72383,0,6000,0,6000,0
50000,32,23974,24131,25326,25775,1800,1900,1300,0,0
230000,41,819,18163,5473,8162,18163,5654,12887,6985,0
70000,48,50927,39883,32017,17630,2100,1217,500,0,1
180000,38,152510,151651,159019,123022,5657,10372,5000,5000,0
80000,36,1689,8638,5702,2980,8638,5723,2980,1260,0
290000,26,20807,99860,100000,3015,80000,3000,3015,23473,0
230000,28,30141,131255,110503,99283,120093,8034,3013,4010,0
170000,56,0,0,1991,0,0,1991,0,0,0
230000,59,208459,206331,203813,201331,7536,7277,7100,7120,1
220000,38,212795,211043,212759,218541,8909,7500,9000,6729,1
230000,32,28114,28006,25000,22046,1610,1224,655,627,0
500000,38,59372,49677,49515,42568,10026,7241,50091,25000,0
90000,41,6160,3274,6190,307,3276,6246,307,2870,0
390000,35,355215,363325,373181,252195,13802,16525,8893,9229,1
400000,41,366193,372700,375948,195991,14020,13595,6243,6007,0
180000,34,2927,2790,1140,2144,2790,1140,2144,1180,0
60000,38,29295,30321,31018,32193,1800,1500,2000,2700,0
120000,32,4158,2682,0,6440,2682,0,6440,0,0
60000,29,27199,28358,28937,29614,1900,1400,1000,1100,0
