Selected,LoanNr_ChkDgt,NAICS,ApprovalDate,ApprovalFY,Term,NoEmp,NewExist,CreateJob,RetainedJob,FranchiseCode,UrbanRural,DisbursementDate,DisbursementGross,ChgOffPrinGr,GrAppv,SBA_Appv,New,RealEstate,Portion,Recession,daysterm,xx,Default
0,1048826001,531210,16848,2006,240,13,1.0,8,0,1,1,16994.0,249000,0,249000,249000,0,1,1.0,0,7200,24194.0,0
1,1054835004,532299,16321,2004,62,2,1.0,0,0,1,1,16344.0,4999,4999,10000,5000,0,0,0.5,0,1860,18204.0,1
1,1056816009,531210,16849,2006,84,3,2.0,0,3,1,2,16860.0,59450,0,30000,15000,1,0,0.5,0,2520,19380.0,0
1,1063815000,532299,16334,2004,84,3,1.0,0,0,1,1,16344.0,25530,0,20000,10000,0,0,0.5,0,2520,18864.0,0
0,1077145001,531210,16350,2005,67,12,1.0,0,0,1,1,16375.0,50000,50000,50000,25000,0,0,0.5,0,2010,18385.0,1
1,1086365010,531210,16364,2005,32,5,1.0,0,0,1,1,16526.0,64000,16728,50000,25000,0,0,0.5,0,960,17486.0,0
1,1088625009,531210,16369,2005,84,4,1.0,0,0,1,1,16375.0,39000,0,10000,5000,0,0,0.5,0,2520,18895.0,0
0,1091405003,532299,16371,2005,84,3,1.0,0,0,1,1,16405.0,25000,0,25000,12500,0,0,0.5,0,2520,18925.0,0
0,1092745002,533110,16372,2005,84,2,1.0,0,0,1,1,16405.0,32697,0,25000,12500,0,0,0.5,0,2520,18925.0,0
0,1097055006,531210,16378,2005,84,4,1.0,0,0,1,1,16405.0,25000,0,25000,12500,0,0,0.5,0,2520,18925.0,0
1,1097615008,531210,16379,2005,84,1,2.0,0,0,1,1,16436.0,10000,0,10000,5000,1,0,0.5,0,2520,18956.0,0
1,1100695001,532230,16384,2005,84,2,1.0,0,0,1,2,16405.0,10000,0,10000,5000,0,0,0.5,0,2520,18925.0,0
0,1101815002,531210,16385,2005,34,1,2.0,0,0,1,1,16467.0,12750,8415,10000,5000,1,0,0.5,0,1020,17487.0,1
0,1105055007,531320,16391,2005,84,1,1.0,0,0,1,1,16436.0,35000,0,35000,17500,0,0,0.5,0,2520,18956.0,0
1,1106844003,532111,13612,1997,300,30,1.0,0,0,1,0,13695.0,150500,0,150500,112875,0,1,0.75,0,9000,22695.0,0
0,1113545001,532490,16401,2005,84,8,1.0,0,0,1,1,16467.0,100000,0,100000,50000,0,0,0.5,0,2520,18987.0,0
1,1115215000,531210,16405,2005,33,12,1.0,0,0,1,1,16436.0,50000,38832,50000,25000,0,0,0.5,0,990,17426.0,1
1,1118365005,531311,16408,2005,84,3,1.0,0,0,1,1,16436.0,50000,0,50000,25000,0,0,0.5,0,2520,18956.0,0
1,1122665004,532299,16413,2005,4,2,1.0,0,0,1,1,16436.0,12000,1547,12000,6000,0,0,0.5,0,120,16556.0,1
0,1122875008,531210,16413,2005,84,2,1.0,0,0,1,2,16587.0,11000,0,11000,5500,0,0,0.5,0,2520,19107.0,0
0,1123945007,531320,16414,2005,84,7,1.0,0,0,1,1,16436.0,50000,0,50000,25000,0,0,0.5,0,2520,18956.0,0
0,1127975002,531390,16418,2005,56,3,1.0,0,0,1,1,16467.0,25009,24952,25000,12500,0,0,0.5,0,1680,18147.0,1
1,1130575001,531390,16420,2005,50,1,1.0,0,0,1,1,16436.0,50591,49447,50000,25000,0,0,0.5,1,1500,17936.0,1
0,1136545004,531210,16426,2005,84,6,1.0,0,0,1,1,16436.0,229540,0,100000,50000,0,0,0.5,0,2520,18956.0,0
0,1137015000,531390,16426,2005,61,4,1.0,0,0,1,1,16436.0,10000,10000,10000,5000,0,0,0.5,0,1830,18266.0,1
1,1137605000,532112,16427,2005,42,7,1.0,0,0,1,1,16436.0,100000,61348,100000,50000,0,0,0.5,1,1260,17696.0,1
0,1138035008,532120,16427,2005,42,10,1.0,0,0,1,1,16436.0,100000,61325,100000,50000,0,0,0.5,1,1260,17696.0,1
1,1153685002,531320,16446,2005,84,4,1.0,0,4,1,1,16495.0,113000,0,50000,25000,0,0,0.5,0,2520,19015.0,0
1,1156185000,532299,16448,2005,84,18,1.0,2,18,1,1,16467.0,50000,0,50000,25000,0,0,0.5,0,2520,18987.0,0
1,1159915000,531390,16450,2005,49,3,1.0,2,3,1,1,16587.0,69500,50000,50000,25000,0,0,0.5,1,1470,18057.0,1
1,1161485001,531210,16454,2005,60,2,1.0,0,2,1,1,16495.0,50000,41691,50000,25000,0,0,0.5,0,1800,18295.0,1
1,1162204004,532230,13627,1997,32,6,1.0,0,0,1,0,13695.0,90000,8469,90000,72000,0,0,0.8,0,960,14655.0,1
1,1162775007,531210,16457,2005,84,2,1.0,0,2,1,1,17562.0,10000,0,10000,5000,0,0,0.5,0,2520,20082.0,0
0,1168925005,531390,16461,2005,84,58,1.0,4,58,1,1,16495.0,100000,0,100000,50000,0,0,0.5,0,2520,19015.0,0
0,1168985001,531311,16461,2005,53,2,1.0,1,2,1,1,16495.0,25000,25000,25000,12500,0,0,0.5,0,1590,18085.0,1
1,1169845007,531210,16461,2005,19,1,2.0,0,1,1,1,16495.0,23282,5897,10000,5000,1,0,0.5,0,570,17065.0,1
0,1173345002,531210,16463,2005,42,12,2.0,0,12,1,1,16495.0,20000,10000,10000,5000,1,0,0.5,1,1260,17755.0,1
0,1176946007,531210,16859,2006,240,13,1.0,6,13,15710,2,17148.0,229000,0,229000,229000,0,1,1.0,0,7200,24348.0,0
1,1177395003,531210,16469,2005,25,2,1.0,2,2,1,2,16495.0,83500,36562,50000,25000,0,0,0.5,0,750,17245.0,1
0,1177475003,532490,16469,2005,84,4,1.0,0,4,1,1,16495.0,50000,0,50000,25000,0,0,0.5,0,2520,19015.0,0
0,1182995000,531210,16471,2005,84,4,1.0,1,4,1,1,16495.0,50000,0,50000,25000,0,0,0.5,0,2520,19015.0,0
1,1183175003,532120,16471,2005,28,1,1.0,0,1,1,1,16587.0,58945,15000,15000,7500,0,0,0.5,0,840,17427.0,1
1,1187995010,532292,16476,2005,84,30,1.0,1,30,1,2,16526.0,50000,0,50000,25000,0,0,0.5,0,2520,19046.0,0
1,1188446007,532120,16860,2006,39,3,1.0,1,4,1,1,16921.0,116007,40000,40000,20000,0,0,0.5,0,1170,18091.0,1
1,1188815004,532291,16476,2005,84,6,1.0,0,6,1,1,16495.0,64000,0,50000,25000,0,0,0.5,0,2520,19015.0,0
0,1192835002,532230,16478,2005,60,2,1.0,0,2,1,1,16526.0,60000,0,60000,30000,0,0,0.5,0,1800,18326.0,0
0,1196525000,531210,16482,2005,84,4,1.0,0,4,1,1,16526.0,58602,0,50000,25000,0,0,0.5,0,2520,19046.0,0
0,1199354007,532230,13648,1997,119,3,1.0,0,0,1,0,13665.0,100000,0,100000,80000,0,0,0.8,0,3570,17235.0,0
1,1206515002,531312,16491,2005,84,2,1.0,1,2,1,1,16526.0,19700,0,10000,5000,0,0,0.5,0,2520,19046.0,0
1,1207665003,531311,16491,2005,68,4,1.0,0,4,1,1,16526.0,45018,45000,45000,22500,0,0,0.5,0,2040,18566.0,1
1,1207715005,531210,16491,2005,84,5,1.0,0,5,1,1,16526.0,67597,0,50000,25000,0,0,0.5,0,2520,19046.0,0
1,1207735000,532412,16491,2005,18,1,1.0,0,1,1,1,16617.0,13107,3955,10000,5000,0,0,0.5,0,540,17157.0,1
0,1210706010,531210,16861,2006,240,345,1.0,20,0,1,1,17057.0,568000,0,568000,568000,0,1,1.0,0,7200,24257.0,0
1,1216465004,531320,16498,2005,47,7,1.0,0,7,1,1,16556.0,100000,73426,100000,50000,0,0,0.5,1,1410,17966.0,1
1,1218694000,531110,13643,1997,240,7,1.0,13,7,1,0,13802.0,357000,0,357000,357000,0,1,1.0,0,7200,21002.0,0
1,1223795007,531210,16504,2005,84,1,1.0,0,1,1,1,16740.0,14900,0,10000,5000,0,0,0.5,0,2520,19260.0,0
0,1227735008,531210,16506,2005,42,4,1.0,0,4,1,1,16587.0,33500,20953,22000,11000,0,0,0.5,1,1260,17847.0,1
1,1236295009,531210,16513,2005,33,2,1.0,1,2,1,1,16556.0,100000,64362,100000,50000,0,0,0.5,1,990,17546.0,1
1,1239985010,532230,16517,2005,57,9,1.0,1,9,1,1,16556.0,50000,44065,50000,25000,0,0,0.5,0,1710,18266.0,1
0,1241275008,531210,16517,2005,84,1,2.0,0,1,37481,1,16556.0,10000,0,10000,5000,1,0,0.5,0,2520,19076.0,0
1,1241335002,531210,16517,2005,36,30,1.0,0,30,1,1,16526.0,10000,0,10000,5000,0,0,0.5,1,1080,17606.0,0
0,1241435008,531210,16517,2005,30,16,1.0,0,16,1,1,16526.0,81937,48632,60000,30000,0,0,0.5,0,900,17426.0,1
0,1245455000,531210,16520,2005,84,2,2.0,0,2,1,1,16709.0,10000,0,10000,5000,1,0,0.5,0,2520,19229.0,0
0,1247315008,531311,16523,2005,84,4,1.0,2,4,1,1,16556.0,35000,0,35000,17500,0,0,0.5,0,2520,19076.0,0
0,1252285006,531210,16526,2005,84,4,1.0,1,4,1,1,16556.0,139892,0,47900,23950,0,0,0.5,0,2520,19076.0,0
0,1256744003,532111,13653,1997,300,5,1.0,0,0,1,0,13787.0,504000,0,504000,378000,0,1,0.75,0,9000,22787.0,0
0,1260605006,531312,16533,2005,71,12,1.0,0,12,1,1,16556.0,50000,49725,50000,25000,0,0,0.5,0,2130,18686.0,1
0,1262665006,531210,16537,2005,29,18,1.0,0,18,1,1,16587.0,50000,50000,50000,25000,0,0,0.5,0,870,17457.0,1
0,1264815007,532230,16538,2005,73,6,1.0,1,6,1,1,16556.0,82804,48304,50000,25000,0,0,0.5,0,2190,18746.0,1
0,1266005004,531210,16538,2005,42,5,1.0,12,5,1,1,16556.0,35000,33294,35000,17500,0,0,0.5,1,1260,17816.0,1
0,1267495002,531312,16539,2005,84,12,1.0,3,12,1,1,16556.0,111500,0,90000,45000,0,0,0.5,0,2520,19076.0,0
0,1269385008,531390,16544,2005,84,5,1.0,3,5,1,1,16556.0,50000,0,50000,25000,0,0,0.5,0,2520,19076.0,0
1,1275284002,532420,13657,1997,84,1,1.0,0,0,1,1,13787.0,48449,0,50000,40000,0,0,0.8,0,2520,16307.0,0
0,1282426008,531210,16867,2006,240,6,1.0,5,0,1,1,16938.0,557000,0,557000,557000,0,1,1.0,0,7200,24138.0,0
1,1284435008,531390,16553,2005,43,3,1.0,2,3,1,1,16587.0,46003,34794,35000,17500,0,0,0.5,1,1290,17877.0,1
0,1292166006,531210,16868,2006,268,5,1.0,3,8,1,1,16891.0,394200,230645,394200,295650,0,1,0.75,0,8040,24931.0,1
0,1298785009,531210,16566,2005,11,2,1.0,0,2,1,1,16587.0,93595,13744,50000,25000,0,0,0.5,0,330,16917.0,1
1,1299775008,531311,16567,2005,33,1,2.0,0,1,1,1,16587.0,12970,8417,10000,5000,1,0,0.5,1,990,17577.0,0
0,1301435000,532230,16568,2005,84,4,1.0,0,4,1,2,16587.0,28500,0,28500,14250,0,0,0.5,0,2520,19107.0,0
1,1313825007,531210,16580,2005,43,2,1.0,0,2,1,1,16617.0,25000,20357,25000,12500,0,0,0.5,1,1290,17907.0,1
1,1317475006,531311,16582,2005,84,4,1.0,0,4,1,1,16617.0,79500,0,50000,25000,0,0,0.5,0,2520,19137.0,0
1,1319365001,531210,16587,2005,32,1,1.0,0,1,1,1,16617.0,25000,14587,25000,12500,0,0,0.5,1,960,17577.0,1
1,1321525000,532230,16589,2005,23,6,1.0,0,6,1,1,16617.0,75000,36179,75000,37500,0,0,0.5,0,690,17307.0,1
0,1326436003,531390,16870,2006,240,34,1.0,6,34,1,1,16938.0,914000,0,914000,914000,0,1,1.0,0,7200,24138.0,0
1,1327735005,532299,16594,2005,84,6,1.0,0,6,1,1,16617.0,30000,0,30000,15000,0,0,0.5,0,2520,19137.0,0
1,1331095006,532292,16596,2005,58,1,1.0,0,1,1,1,16648.0,35000,32141,35000,17500,0,0,0.5,0,1740,18388.0,1
0,1331255006,531320,16596,2005,36,3,1.0,0,3,1,1,16679.0,187000,93700,100000,50000,0,0,0.5,1,1080,17759.0,1
0,1333125006,532230,16597,2005,63,12,1.0,0,12,1,1,16648.0,50000,45747,50000,25000,0,0,0.5,0,1890,18538.0,1
1,1335966000,531210,16873,2006,41,1,1.0,1,1,1,1,16921.0,51751,29638,30000,15000,0,0,0.5,0,1230,18151.0,1
1,1337275002,531210,16601,2005,84,3,2.0,0,3,1,1,16617.0,50000,0,50000,25000,1,0,0.5,0,2520,19137.0,0
1,1338134001,532230,13676,1997,300,6,1.0,0,0,1,0,14425.0,302000,0,302000,226500,0,1,0.75,0,9000,23425.0,0
1,1339455001,531311,16602,2005,84,80,1.0,0,80,1,1,16648.0,50000,0,50000,25000,0,0,0.5,0,2520,19168.0,0
1,1340535009,531210,16603,2005,55,3,1.0,0,3,1,1,16679.0,109000,44496,50000,25000,0,0,0.5,0,1650,18329.0,1
0,1345845007,531210,16607,2005,84,1,1.0,0,1,1,1,16617.0,92446,0,31000,15500,0,0,0.5,0,2520,19137.0,0
0,1346505001,531210,16608,2005,84,6,1.0,0,6,1,1,16801.0,55000,0,50000,25000,0,0,0.5,0,2520,19321.0,0
1,1350935004,531190,16610,2005,41,2,1.0,0,2,1,1,16648.0,81475,51609,52500,26250,0,0,0.5,1,1230,17878.0,1
0,1364005008,531210,16623,2005,84,5,1.0,1,5,0,1,16648.0,93000,0,50000,25000,0,0,0.5,0,2520,19168.0,0
1,1366035010,531210,16624,2005,36,5,1.0,0,5,0,1,16648.0,20000,0,20000,10000,0,0,0.5,1,1080,17728.0,0
0,1368895003,531120,16628,2005,84,3,1.0,3,3,0,1,16648.0,69500,0,50000,25000,0,0,0.5,0,2520,19168.0,0
0,1388235001,531210,16643,2005,53,2,1.0,2,2,0,1,16679.0,44750,25000,25000,12500,0,0,0.5,0,1590,18269.0,1
0,1390235000,531312,16644,2005,84,5,2.0,0,5,0,1,16740.0,21500,0,10000,5000,1,0,0.5,0,2520,19260.0,0
0,1390566001,531210,16877,2006,73,31,1.0,69,31,69149,1,17225.0,150000,0,150000,75000,0,0,0.5,0,2190,19415.0,0
0,1391595005,532230,16645,2005,4,2,1.0,1,2,0,1,16679.0,20505,3783,10000,5000,0,0,0.5,0,120,16799.0,1
0,1392415010,531210,16645,2005,300,21,2.0,0,21,0,1,16679.0,1240000,0,1240000,930000,1,1,0.75,0,9000,25679.0,0
1,1394315008,532490,16646,2005,84,21,1.0,50,50,0,1,16679.0,140000,0,140000,70000,0,0,0.5,0,2520,19199.0,0
1,1394325000,532490,16646,2005,84,21,1.0,50,50,0,1,17286.0,22964,0,10000,5000,0,0,0.5,0,2520,19806.0,0
1,1406965002,532230,16657,2005,78,2,1.0,2,2,0,1,16832.0,100000,48904,100000,85000,0,0,0.85,0,2340,19172.0,1
0,1408404006,531110,13705,1997,300,9,1.0,0,0,1,0,13757.0,257000,0,257000,192750,0,1,0.75,0,9000,22757.0,0
0,1409105008,531210,16658,2005,84,1,2.0,1,1,0,1,16832.0,65000,0,50000,25000,1,0,0.5,0,2520,19352.0,0
0,1416315010,531311,16664,2005,59,5,2.0,0,5,0,1,16709.0,24046,20000,20000,10000,1,0,0.5,0,1770,18479.0,1
0,1419365009,531311,16666,2005,63,2,2.0,0,2,0,1,16740.0,5000,4299,5000,2500,1,0,0.5,0,1890,18630.0,1
1,1424025006,531210,16671,2005,51,5,1.0,1,5,0,1,16709.0,50000,40042,50000,25000,0,0,0.5,0,1530,18239.0,1
1,1426646004,531210,16881,2006,54,3,1.0,2,3,1,2,16921.0,43509,28987,30000,15000,0,0,0.5,0,1620,18541.0,1
1,1426866000,532490,16881,2006,240,20,1.0,3,0,1,1,17029.0,105000,0,105000,105000,0,1,1.0,0,7200,24229.0,0
0,1430295002,531390,16673,2005,44,13,1.0,0,13,0,1,16709.0,45000,44239,45000,22500,0,0,0.5,1,1320,18029.0,1
1,1441105008,532120,16681,2005,84,1,1.0,0,1,0,1,16709.0,61483,0,45000,22500,0,0,0.5,0,2520,19229.0,0
1,1454584004,532230,13727,1997,120,7,1.0,0,0,1,0,13787.0,140000,0,140000,105000,0,0,0.75,0,3600,17387.0,0
0,1454865001,531311,16693,2005,84,3,2.0,0,3,0,1,16709.0,70112,0,20000,10000,1,0,0.5,0,2520,19229.0,0
0,1460875000,531311,16698,2005,61,1,1.0,1,2,0,1,17197.0,53450,19077,25000,12500,0,0,0.5,0,1830,19027.0,1
0,1465705005,531390,16700,2005,22,1,2.0,9,10,0,2,16709.0,74432,39184,40000,20000,1,0,0.5,0,660,17369.0,1
1,1469696008,532490,16884,2006,120,6,1.0,0,6,1,1,16952.0,825000,0,825000,618750,0,0,0.75,0,3600,20552.0,0
1,1472284001,532111,13737,1997,300,7,1.0,0,0,1,0,13910.0,720000,0,720000,540000,0,1,0.75,0,9000,22910.0,0
0,1476505010,531320,16707,2005,49,2,1.0,2,2,0,1,16740.0,50000,38036,50000,25000,0,0,0.5,0,1470,18210.0,1
1,1477895002,532230,16707,2005,60,2,1.0,2,2,0,1,16801.0,10800,0,10800,9180,0,0,0.85,0,1800,18601.0,0
0,1483255005,531120,16712,2006,7,1,1.0,0,1,0,1,16770.0,45000,43770,45000,22500,0,0,0.5,0,210,16980.0,1
1,1488884009,531110,13744,1997,300,130,1.0,0,0,1,0,13787.0,369000,0,369000,276750,0,1,0.75,0,9000,22787.0,0
1,1496985000,531390,16722,2006,39,1,2.0,0,1,0,1,16740.0,62267,23950,24000,12000,1,0,0.5,1,1170,17910.0,1
0,1499135009,531390,16723,2006,84,1,1.0,0,1,0,1,16740.0,50000,0,50000,25000,0,0,0.5,0,2520,19260.0,0
0,1499685010,531210,16723,2006,84,1,1.0,0,1,0,1,16770.0,329825,0,100000,50000,0,0,0.5,0,2520,19290.0,0
0,1499785005,531210,16726,2006,84,1,1.0,3,1,0,1,16770.0,50000,0,50000,25000,0,0,0.5,0,2520,19290.0,0
0,1504496003,531210,16887,2006,84,5,1.0,0,5,1,2,16921.0,98863,0,50000,25000,0,0,0.5,0,2520,19441.0,0
0,1512516007,532291,16888,2006,84,5,1.0,2,5,1,2,16921.0,83768,0,30000,15000,0,0,0.5,0,2520,19441.0,0
1,1512635001,531311,16734,2006,44,1,1.0,6,1,0,1,16770.0,100000,70294,100000,50000,0,0,0.5,0,1320,18090.0,1
1,1515624008,532111,13754,1997,120,7,1.0,0,0,1,0,13757.0,100000,0,100000,75000,0,0,0.75,0,3600,17357.0,0
0,1516595010,531210,16735,2006,56,3,1.0,2,3,0,1,16770.0,74300,70525,74300,37150,0,0,0.5,0,1680,18450.0,1
1,1517425007,532411,16736,2006,84,2,1.0,0,2,0,1,16770.0,60399,0,25000,12500,0,0,0.5,0,2520,19290.0,0
0,1517494010,532111,13755,1997,120,1,2.0,0,0,1,0,13818.0,50000,0,50000,40000,1,0,0.8,0,3600,17418.0,0
0,1519505000,531210,16737,2006,43,9,1.0,0,9,0,1,16860.0,35000,19119,20000,10000,0,0,0.5,0,1290,18150.0,1
0,1523425003,531390,16741,2006,84,1,2.0,1,2,0,1,16770.0,12973,0,10000,5000,1,0,0.5,0,2520,19290.0,0
1,1528046002,532230,16889,2006,38,3,1.0,0,3,1,1,16952.0,49959,29219,30000,15000,0,0,0.5,0,1140,18092.0,1
0,1532105003,531390,16748,2006,58,5,1.0,0,5,0,1,16801.0,37695,34164,35000,17500,0,0,0.5,0,1740,18541.0,1
0,1535505000,531210,16749,2006,40,2,1.0,2,2,0,1,16801.0,100000,61731,100000,50000,0,0,0.5,1,1200,18001.0,1
1,1536045006,531110,16749,2006,8,4,1.0,0,4,0,1,16770.0,209210,14193,50000,25000,0,0,0.5,0,240,17010.0,1
0,1544125006,531390,16757,2006,60,7,1.0,1,7,0,1,16891.0,40000,0,40000,20000,0,0,0.5,0,1800,18691.0,0
0,1549165006,531390,16761,2006,57,13,2.0,0,13,0,1,16832.0,58292,39369,40000,20000,1,0,0.5,0,1710,18542.0,1
0,1551555004,531210,16762,2006,51,10,1.0,1,10,0,1,16801.0,74500,50000,50000,25000,0,0,0.5,0,1530,18331.0,1
0,1553755009,531190,16765,2006,84,5,1.0,1,6,0,1,16801.0,45736,0,25000,12500,0,0,0.5,0,2520,19321.0,0
1,1554505006,531210,16765,2006,20,12,1.0,3,12,0,1,16801.0,84492,20886,35000,17500,0,0,0.5,0,600,17401.0,1
1,1556055006,531390,16768,2006,55,2,2.0,0,2,0,1,16860.0,12700,12317,12700,6350,1,0,0.5,0,1650,18510.0,1
1,1559255002,531210,16770,2006,55,1,1.0,2,1,0,1,16801.0,25000,20635,25000,12500,0,0,0.5,0,1650,18451.0,1
1,1559845002,531210,16770,2006,84,2,2.0,0,2,0,1,16832.0,252539,0,50000,25000,1,0,0.5,0,2520,19352.0,0
1,1564626007,531390,16891,2006,240,13,1.0,3,0,1,1,16966.0,669000,0,669000,669000,0,1,1.0,0,7200,24166.0,0
0,1566546000,531210,16891,2006,48,1,1.0,1,2,1,1,17317.0,60000,29997,30000,15000,0,0,0.5,0,1440,18757.0,1
1,1575335002,531210,16782,2006,84,3,1.0,0,3,0,1,16801.0,49310,0,25800,12900,0,0,0.5,0,2520,19321.0,0
1,1584505007,531320,16789,2006,53,2,2.0,2,2,0,1,16832.0,35000,15098,35000,17500,1,0,0.5,0,1590,18422.0,1
0,1585095006,531210,16789,2006,300,4,1.0,4,8,0,1,16832.0,952000,0,952000,714000,0,1,0.75,0,9000,25832.0,0
0,1592465008,531390,16792,2006,46,5,1.0,0,5,0,1,16832.0,133922,49000,50000,25000,0,0,0.5,0,1380,18212.0,1
0,1593525004,532299,16793,2006,62,2,1.0,1,2,0,1,16832.0,10500,10500,10500,5250,0,0,0.5,0,1860,18692.0,1
0,1594094001,533110,13787,1997,300,10,1.0,0,0,1,0,13969.0,500000,0,500000,375000,0,1,0.75,0,9000,22969.0,0
0,1594795006,531210,16797,2006,84,3,2.0,0,3,0,1,16801.0,89500,0,50000,25000,1,0,0.5,0,2520,19321.0,0
0,1596715008,531210,16798,2006,43,2,1.0,1,2,0,1,16832.0,79000,49500,50000,25000,0,0,0.5,0,1290,18122.0,1
0,1597085000,531210,16798,2006,84,1,2.0,0,1,0,1,16891.0,65000,0,65000,32500,1,0,0.5,0,2520,19411.0,0
0,1597665008,531210,16799,2006,49,1,2.0,0,1,0,1,16982.0,7000,6030,7000,3500,1,0,0.5,0,1470,18452.0,1
0,1608495001,531210,16810,2006,52,1,2.0,0,1,0,1,16832.0,25029,9867,10000,5000,1,0,0.5,0,1560,18392.0,1
0,1608905004,532230,16811,2006,84,4,1.0,1,4,0,1,16860.0,15000,0,15000,7500,0,0,0.5,0,2520,19380.0,0
1,1615195003,531210,16814,2006,47,1,1.0,0,1,0,1,16860.0,46723,17840,25000,12500,0,0,0.5,0,1410,18270.0,1
0,1615735010,531210,16814,2006,46,7,1.0,0,7,0,1,16832.0,85000,40977,50000,25000,0,0,0.5,0,1380,18212.0,1
0,1617135000,531210,16818,2006,59,1,1.0,2,1,0,1,16860.0,50000,44467,50000,25000,0,0,0.5,0,1770,18630.0,1
0,1625605010,531210,16824,2006,53,3,1.0,0,3,0,1,16832.0,31850,24400,25000,12500,0,0,0.5,0,1590,18422.0,1
1,1629356000,532490,16897,2006,240,34,1.0,5,0,1,1,17029.0,905000,0,905000,905000,0,1,1.0,0,7200,24229.0,0
0,1631875006,532230,16827,2006,84,2,1.0,2,2,0,1,16860.0,50000,0,50000,25000,0,0,0.5,0,2520,19380.0,0
1,1638634000,532230,13810,1998,120,2,1.0,0,0,1,0,13848.0,50000,0,50000,40000,0,0,0.8,0,3600,17448.0,0
0,1638935003,531210,16832,2006,54,4,1.0,1,4,15710,1,16860.0,79500,50000,50000,25000,0,0,0.5,0,1620,18480.0,1
1,1653445007,532310,16840,2006,72,4,2.0,0,4,0,1,16860.0,35600,19800,20000,10000,1,0,0.5,0,2160,19020.0,1
0,1654475007,531320,16841,2006,64,2,2.0,0,2,0,1,16860.0,14880,9935,10000,5000,1,0,0.5,0,1920,18780.0,1
0,1654765000,532412,16841,2006,55,4,2.0,0,4,0,1,16921.0,9350,9350,10000,5000,1,0,0.5,0,1650,18571.0,0
0,1669295004,531210,16849,2006,50,3,2.0,2,3,0,1,16860.0,60500,40250,40500,20250,1,0,0.5,0,1500,18360.0,1
1,1672435010,532230,16853,2006,21,1,1.0,0,1,0,1,16891.0,50000,31469,50000,25000,0,0,0.5,1,630,17521.0,1
1,1673255006,531210,16853,2006,50,2,1.0,1,3,0,1,16891.0,32952,9477,10000,5000,0,0,0.5,0,1500,18391.0,1
