age,education,balance,housing,loan,campaign,previous,poutcome,label
48,unknown,0,yes,no,1,2,failure,0
27,secondary,769,yes,no,2,0,unknown,0
33,tertiary,0,no,no,10,0,unknown,0
29,secondary,428,yes,yes,1,2,failure,0
34,tertiary,0,no,no,1,0,unknown,0
52,tertiary,-970,yes,no,1,0,unknown,1
60,unknown,6313,no,no,2,0,unknown,0
32,tertiary,948,no,no,2,0,unknown,0
32,tertiary,0,yes,no,2,0,unknown,0
56,unknown,1877,yes,no,1,0,unknown,0
31,tertiary,874,yes,no,2,0,unknown,0
42,secondary,323,yes,yes,2,0,unknown,0
35,tertiary,106,no,yes,2,0,unknown,0
56,primary,1906,no,yes,9,0,unknown,0
48,secondary,1152,yes,no,5,0,unknown,0
46,secondary,179,yes,no,4,1,other,0
37,unknown,391,yes,no,3,0,unknown,0
41,unknown,89,yes,no,2,0,unknown,0
36,tertiary,442,yes,yes,3,0,unknown,0
45,primary,-249,yes,yes,1,0,unknown,0
55,secondary,8104,no,no,2,0,unknown,0
39,secondary,501,no,no,1,0,unknown,0
35,secondary,308,no,no,2,0,unknown,0
55,secondary,602,no,no,3,2,success,1
55,secondary,273,yes,no,3,3,failure,0
27,secondary,50,no,no,1,0,unknown,0
34,secondary,1641,yes,no,1,0,unknown,0
34,tertiary,20,no,no,1,0,unknown,0
25,secondary,4590,yes,no,2,0,unknown,0
41,secondary,-256,no,yes,3,0,unknown,0
43,secondary,978,yes,yes,2,0,unknown,0
28,tertiary,80,no,no,2,2,failure,1
31,secondary,2104,yes,no,1,0,unknown,0
78,secondary,499,no,no,4,0,unknown,0
45,secondary,1269,yes,no,2,0,unknown,0
48,tertiary,310,no,no,1,0,unknown,0
32,secondary,1143,yes,yes,1,0,unknown,0
42,secondary,2980,no,no,3,0,unknown,0
37,tertiary,37,no,no,2,0,unknown,0
40,secondary,462,yes,yes,1,4,other,0
32,secondary,1031,yes,no,1,0,unknown,0
42,tertiary,9009,no,no,2,0,unknown,0
43,secondary,-465,yes,yes,1,0,unknown,0
44,secondary,5181,yes,yes,7,0,unknown,0
37,secondary,176,yes,no,2,1,failure,0
37,unknown,1699,no,no,1,0,unknown,0
37,tertiary,0,yes,no,2,1,failure,0
28,tertiary,172,yes,yes,2,0,unknown,0
32,secondary,0,no,yes,2,0,unknown,0
34,secondary,6979,yes,no,5,0,unknown,0
40,secondary,6,no,no,1,0,unknown,0
34,secondary,-62,yes,no,3,0,unknown,0
34,tertiary,1972,yes,no,2,0,unknown,0
34,tertiary,899,yes,no,3,4,success,0
37,secondary,21,yes,no,1,2,other,0
36,secondary,23,yes,no,2,1,failure,0
56,secondary,-1206,yes,no,2,0,unknown,1
49,primary,0,yes,yes,6,0,unknown,0
33,secondary,215,yes,no,12,0,unknown,0
30,tertiary,1372,no,no,2,0,unknown,0
36,secondary,1981,no,no,2,0,unknown,0
23,secondary,9216,no,no,2,0,unknown,0
57,secondary,39,yes,no,3,0,unknown,0
27,secondary,5563,yes,no,2,0,unknown,0
38,secondary,1,no,yes,2,0,unknown,0
42,tertiary,782,no,no,1,0,unknown,0
75,secondary,3771,no,no,1,2,success,1
34,tertiary,992,yes,no,1,2,success,0
48,secondary,1526,no,no,2,0,unknown,0
35,tertiary,2658,yes,no,2,3,failure,1
39,tertiary,1315,yes,no,4,1,failure,0
29,tertiary,455,no,no,1,0,unknown,1
45,tertiary,0,yes,no,2,0,unknown,0
42,secondary,2030,yes,yes,1,0,unknown,0
29,secondary,1599,yes,no,1,1,failure,0
38,secondary,-196,yes,no,1,1,failure,0
56,secondary,1333,no,no,14,0,unknown,0
36,secondary,9149,yes,no,3,0,unknown,0
25,secondary,-350,yes,no,3,0,unknown,0
38,tertiary,432,yes,no,2,1,other,0
57,secondary,11494,no,no,1,0,unknown,0
31,tertiary,-253,no,no,4,0,unknown,0
42,tertiary,372,yes,no,2,0,unknown,1
45,secondary,1410,no,no,2,0,unknown,0
30,secondary,975,yes,no,2,2,failure,0
49,primary,305,yes,yes,10,0,unknown,0
49,secondary,400,no,no,3,0,unknown,0
53,tertiary,-22,yes,no,3,0,unknown,0
37,secondary,4030,yes,no,5,0,unknown,0
49,primary,365,no,no,2,0,unknown,0
41,primary,204,no,no,7,0,unknown,0
54,primary,1691,yes,no,1,0,unknown,0
32,secondary,406,yes,no,1,0,unknown,0
33,secondary,-204,no,no,3,0,unknown,0
33,secondary,359,yes,no,1,1,other,0
36,primary,123,yes,no,1,0,unknown,0
35,tertiary,0,yes,yes,1,6,other,0
52,secondary,142,no,no,6,0,unknown,0
40,tertiary,3571,no,no,3,0,unknown,0
44,secondary,33,yes,no,3,10,failure,0
45,secondary,0,yes,no,2,5,success,0
30,secondary,3096,no,no,1,0,unknown,0
48,secondary,20,no,no,3,0,unknown,0
33,secondary,3576,yes,no,1,2,other,0
57,unknown,206,yes,no,3,0,unknown,0
57,primary,7082,no,no,3,0,unknown,0
51,tertiary,1634,yes,no,4,0,unknown,0
34,secondary,1,yes,no,7,0,unknown,0
50,tertiary,4012,no,no,3,0,unknown,0
44,tertiary,3762,no,no,12,0,unknown,0
27,secondary,-247,yes,yes,2,0,unknown,0
50,secondary,606,yes,no,2,0,unknown,0
36,tertiary,0,yes,no,1,1,other,0
42,secondary,-189,yes,no,2,0,unknown,0
32,secondary,0,no,no,2,0,unknown,0
42,tertiary,484,yes,no,2,0,unknown,0
43,secondary,0,no,yes,2,5,failure,0
31,tertiary,395,yes,no,3,0,unknown,0
32,tertiary,2349,no,no,5,0,unknown,0
55,primary,410,no,yes,2,0,unknown,0
58,primary,3401,yes,no,3,2,failure,0
46,primary,222,no,no,2,0,unknown,0
55,secondary,989,yes,yes,4,0,unknown,0
34,tertiary,415,no,yes,2,0,unknown,0
28,secondary,16,no,no,4,0,unknown,0
42,tertiary,7190,yes,no,2,0,unknown,0
29,secondary,482,no,yes,3,0,unknown,1
54,secondary,209,yes,yes,1,0,unknown,0
32,secondary,0,no,no,2,0,unknown,0
39,tertiary,5803,no,no,3,0,unknown,0
53,tertiary,624,no,yes,4,0,unknown,0
58,tertiary,883,no,no,1,2,failure,0
40,secondary,1516,yes,yes,1,0,unknown,0
29,secondary,872,yes,no,1,0,unknown,0
33,tertiary,-988,yes,yes,3,0,unknown,0
38,secondary,902,yes,no,13,0,unknown,0
56,secondary,1007,no,no,6,0,unknown,0
40,secondary,0,yes,no,1,3,failure,0
24,secondary,174,yes,yes,1,0,unknown,1
46,secondary,12186,no,no,3,0,unknown,0
35,secondary,524,yes,no,4,0,unknown,0
35,tertiary,0,yes,no,4,0,unknown,0
34,secondary,4,yes,no,1,0,unknown,0
35,tertiary,11219,no,no,2,1,failure,0
38,tertiary,0,no,no,2,0,unknown,0
50,primary,5776,no,no,3,0,unknown,0
51,primary,37,yes,no,1,0,unknown,0
59,tertiary,593,no,no,2,0,unknown,0
32,secondary,1148,yes,no,1,0,unknown,0
37,secondary,3561,yes,no,1,0,unknown,0
42,secondary,63,no,no,6,0,unknown,0
40,secondary,260,no,no,6,0,unknown,0
28,tertiary,2269,yes,no,1,0,unknown,0
47,secondary,1060,yes,no,3,0,unknown,0
27,secondary,-220,yes,no,2,0,unknown,0
41,tertiary,49,yes,no,5,0,unknown,0
34,tertiary,69,no,yes,3,6,success,1
50,primary,4108,yes,no,2,0,unknown,1
47,secondary,480,yes,no,2,0,unknown,0
53,secondary,4994,no,no,6,0,unknown,0
53,secondary,0,yes,yes,5,0,unknown,0
47,tertiary,3681,no,no,2,0,unknown,0
49,unknown,-701,yes,no,2,0,unknown,1
29,tertiary,451,no,no,1,0,unknown,0
45,primary,-311,yes,no,1,0,unknown,1
38,secondary,593,yes,yes,24,0,unknown,1
32,secondary,759,yes,no,5,0,unknown,1
70,primary,4531,no,no,1,0,unknown,0
65,primary,1840,no,no,2,5,failure,0
56,secondary,345,yes,no,1,0,unknown,0
35,secondary,1287,yes,no,2,0,unknown,0
56,unknown,353,no,yes,2,0,unknown,0
56,secondary,205,no,yes,2,0,unknown,0
49,secondary,687,yes,no,1,0,unknown,1
38,primary,1147,yes,yes,5,0,unknown,0
35,tertiary,4286,yes,no,1,0,unknown,0
38,tertiary,605,no,no,2,0,unknown,0
49,secondary,8545,yes,yes,7,1,failure,0
55,unknown,559,no,no,2,0,unknown,0
43,primary,2,yes,no,3,0,unknown,0
43,tertiary,2,no,yes,2,0,unknown,0
25,tertiary,760,yes,no,3,2,failure,1
30,primary,1317,yes,no,2,0,unknown,0
46,secondary,182,no,no,1,0,unknown,0
50,primary,276,no,yes,6,0,unknown,0
35,secondary,2971,no,no,4,2,failure,1
26,secondary,1064,no,no,1,0,unknown,0
45,unknown,1783,no,no,11,0,unknown,0
37,secondary,-67,no,no,1,0,unknown,0
60,tertiary,179,no,yes,4,0,unknown,0
38,tertiary,1199,no,no,1,1,success,1
47,primary,214,yes,yes,1,0,unknown,0
33,secondary,6699,no,no,1,1,failure,0
51,secondary,1760,no,yes,1,0,unknown,0
35,tertiary,145,yes,no,2,0,unknown,1
35,secondary,978,no,no,3,3,success,1
48,secondary,1150,yes,no,1,0,unknown,0
37,secondary,121,no,no,6,0,unknown,0
29,tertiary,828,yes,no,3,3,other,0
34,secondary,244,yes,no,4,0,unknown,0
32,primary,228,yes,no,6,0,unknown,1
30,tertiary,424,no,no,4,0,unknown,1
47,tertiary,447,no,yes,1,0,unknown,0
33,primary,-195,no,no,1,0,unknown,0
33,tertiary,1410,yes,no,1,5,failure,0
63,primary,1084,no,no,1,1,success,0
51,primary,10924,no,no,2,0,unknown,0
41,tertiary,832,yes,yes,1,1,failure,0
56,tertiary,478,no,no,1,0,unknown,0
60,tertiary,0,no,yes,1,0,unknown,0
41,tertiary,3950,yes,no,2,0,unknown,0
37,unknown,504,yes,no,1,0,unknown,0
36,secondary,219,yes,yes,2,1,failure,0
57,tertiary,1602,no,no,3,0,unknown,0
55,primary,2587,no,no,2,2,success,1
44,secondary,0,yes,yes,1,0,unknown,0
47,tertiary,2303,yes,no,2,1,failure,0
31,secondary,1660,yes,no,1,0,unknown,0
35,tertiary,32,yes,no,1,0,unknown,0
39,tertiary,278,no,yes,3,0,unknown,0
50,tertiary,4,no,no,1,2,failure,0
29,tertiary,318,yes,no,2,4,failure,0
30,secondary,209,yes,no,2,0,unknown,0
46,secondary,271,yes,no,4,0,unknown,0
27,unknown,3196,no,no,2,0,unknown,0
48,secondary,4099,no,no,2,0,unknown,1
26,secondary,2572,yes,no,1,0,unknown,0
36,tertiary,339,no,no,6,0,unknown,0
42,primary,0,yes,yes,2,0,unknown,0
50,primary,395,yes,no,2,0,unknown,0
49,secondary,2039,yes,no,2,0,unknown,0
45,tertiary,5450,no,no,2,0,unknown,0
23,secondary,780,no,no,1,0,unknown,0
38,secondary,0,yes,no,2,0,unknown,0
32,tertiary,8436,yes,no,1,2,failure,0
60,primary,11262,no,no,1,0,unknown,1
30,secondary,946,yes,no,1,1,other,0
58,tertiary,497,no,no,5,0,unknown,0
60,primary,55,no,no,1,0,unknown,0
38,secondary,-140,no,no,3,0,unknown,0
51,secondary,-379,yes,no,1,0,unknown,0
42,secondary,-396,yes,no,1,4,failure,0
30,secondary,0,yes,no,6,9,failure,0
40,primary,733,yes,no,7,0,unknown,0
37,tertiary,393,yes,no,3,4,failure,1
53,primary,7290,yes,no,1,0,unknown,0
27,secondary,468,yes,no,1,0,unknown,0
39,secondary,0,yes,no,1,1,failure,0
39,primary,3705,yes,no,1,0,unknown,0
59,tertiary,9676,no,no,2,0,unknown,1
37,secondary,1328,yes,no,2,4,failure,0
41,primary,8,yes,no,2,0,unknown,0
45,primary,61,no,no,1,0,unknown,0
48,tertiary,6613,no,no,3,0,unknown,0
48,secondary,302,yes,no,3,0,unknown,0
32,secondary,1005,no,no,1,0,unknown,0
35,secondary,109,yes,no,3,0,unknown,0
33,tertiary,1240,yes,no,2,1,other,0
28,primary,0,yes,yes,4,0,unknown,0
64,unknown,2923,no,no,1,0,unknown,0
35,secondary,0,no,no,4,0,unknown,0
33,secondary,43,yes,no,2,2,failure,0
41,secondary,288,yes,no,4,0,unknown,0
34,secondary,613,yes,no,1,0,unknown,0
37,tertiary,6101,no,no,5,1,success,0
38,primary,168,yes,yes,3,0,unknown,0
39,primary,7685,yes,no,3,0,unknown,0
35,tertiary,4515,yes,no,2,0,unknown,0
28,secondary,517,no,yes,1,0,unknown,1
27,secondary,148,no,no,1,0,unknown,0
48,primary,-285,no,yes,1,0,unknown,0
50,secondary,887,no,no,1,0,unknown,0
45,secondary,3098,yes,no,2,0,unknown,0
41,tertiary,744,yes,no,1,0,unknown,0
39,secondary,130,no,no,2,0,unknown,0
44,secondary,438,yes,no,3,1,failure,0
54,secondary,0,no,no,1,2,failure,1
49,tertiary,322,no,no,4,0,unknown,0
34,secondary,186,no,no,1,0,unknown,0
75,tertiary,3810,yes,no,1,1,failure,1
42,tertiary,0,no,no,2,0,unknown,0
53,secondary,4380,no,no,7,0,unknown,0
49,tertiary,755,no,no,4,0,unknown,1
31,secondary,2070,no,no,2,0,unknown,0
45,primary,999,no,no,2,0,unknown,0
39,secondary,167,yes,yes,1,0,unknown,0
46,secondary,1322,yes,yes,1,0,unknown,0
42,secondary,1076,yes,no,1,0,unknown,0
37,tertiary,502,yes,no,1,1,failure,0
26,tertiary,1216,yes,no,2,0,unknown,0
37,tertiary,876,yes,no,4,2,failure,0
36,secondary,342,yes,no,1,0,unknown,0
29,primary,950,yes,no,3,0,unknown,0
36,primary,973,yes,yes,1,0,unknown,0
26,tertiary,3825,yes,no,1,0,unknown,0
32,secondary,2366,yes,no,2,0,unknown,0
40,tertiary,542,yes,no,1,0,unknown,0
53,primary,995,no,no,3,0,unknown,0
29,tertiary,20,yes,no,1,0,unknown,0
34,tertiary,228,yes,no,4,0,unknown,0
43,secondary,130,no,no,1,3,failure,0
56,tertiary,217,no,yes,2,0,unknown,0
55,tertiary,0,no,no,2,0,unknown,0
31,tertiary,259,yes,no,1,0,unknown,0
27,secondary,619,yes,no,5,4,other,0
36,secondary,644,yes,no,2,0,unknown,0
44,tertiary,22,yes,no,2,0,unknown,0
37,tertiary,4303,yes,no,1,0,unknown,0
30,secondary,239,yes,no,3,0,unknown,0
42,secondary,275,no,no,8,0,unknown,0
30,tertiary,1221,yes,no,4,0,unknown,1
62,secondary,816,no,no,2,0,unknown,0
24,secondary,1222,yes,no,1,0,unknown,0
31,secondary,2363,yes,no,1,0,unknown,0
66,tertiary,2262,no,no,1,0,unknown,0
47,secondary,2,no,no,1,0,unknown,0
39,tertiary,2,yes,no,1,0,unknown,0
35,secondary,4508,yes,no,1,0,unknown,1
35,secondary,-402,yes,no,1,0,unknown,0
27,secondary,1577,yes,yes,2,0,unknown,0
32,secondary,34,yes,no,2,0,unknown,0
44,tertiary,795,no,no,24,0,unknown,0
42,secondary,117,yes,no,1,0,unknown,0
34,tertiary,5462,no,no,1,0,unknown,1
25,secondary,402,no,yes,1,0,unknown,0
40,secondary,641,no,no,6,0,unknown,0
43,tertiary,36,no,no,1,2,failure,0
55,tertiary,383,no,no,3,0,unknown,0
50,secondary,283,yes,no,3,0,unknown,0
45,tertiary,0,no,no,1,0,unknown,0
35,secondary,3102,yes,no,1,0,unknown,0
32,secondary,889,yes,no,1,5,success,1
59,secondary,0,no,no,1,4,failure,0
34,secondary,-370,yes,no,1,0,unknown,0
39,tertiary,-606,yes,no,1,0,unknown,0
40,secondary,10378,yes,no,3,0,unknown,0
36,primary,1313,yes,no,10,0,unknown,0
40,tertiary,8969,yes,no,1,0,unknown,0
55,secondary,-196,yes,no,2,0,unknown,0
38,secondary,15,yes,no,1,0,unknown,0
61,secondary,4608,no,no,1,0,unknown,1
41,tertiary,666,yes,no,3,0,unknown,0
57,primary,452,yes,no,4,0,unknown,0
48,secondary,149,yes,no,1,0,unknown,0
77,tertiary,7802,no,no,1,2,success,1
35,secondary,1453,yes,no,1,0,unknown,0
54,secondary,1480,yes,no,1,0,unknown,0
37,unknown,715,yes,no,2,0,unknown,0
56,secondary,237,yes,no,4,0,unknown,0
40,secondary,694,yes,no,4,5,failure,0
40,tertiary,0,no,no,8,0,unknown,0
54,tertiary,55,yes,no,2,0,unknown,0
55,primary,136,yes,no,10,0,unknown,0
55,secondary,-404,yes,no,3,0,unknown,0
52,primary,779,yes,no,3,0,unknown,0
55,primary,1187,yes,no,2,0,unknown,0
33,tertiary,641,yes,no,2,0,unknown,0
52,unknown,826,yes,no,2,0,unknown,0
33,secondary,991,yes,no,1,0,unknown,0
53,secondary,1796,no,no,1,2,success,1
46,secondary,22,no,no,6,0,unknown,1
44,secondary,244,yes,no,4,0,unknown,1
48,tertiary,1328,yes,no,1,0,unknown,0
50,secondary,7317,yes,no,1,1,failure,0
34,secondary,4943,yes,yes,2,0,unknown,0
38,secondary,258,no,yes,2,0,unknown,0
42,tertiary,515,yes,no,2,0,unknown,0
32,tertiary,12607,no,no,5,1,failure,0
58,secondary,2,yes,yes,9,0,unknown,0
31,tertiary,13,no,no,5,0,unknown,0
19,primary,103,no,no,2,0,unknown,1
41,tertiary,3872,no,no,1,0,unknown,0
31,secondary,296,yes,no,3,0,unknown,0
52,primary,217,no,yes,6,0,unknown,0
42,tertiary,360,yes,no,5,0,unknown,0
41,secondary,428,yes,no,1,0,unknown,0
30,secondary,315,no,no,1,0,unknown,1
38,secondary,121,yes,yes,1,2,failure,0
32,tertiary,820,yes,no,3,0,unknown,0
52,secondary,195,yes,no,1,5,failure,1
48,tertiary,108,yes,no,2,0,unknown,0
36,tertiary,-381,yes,no,29,0,unknown,0
45,primary,757,no,no,1,4,failure,0
34,tertiary,691,yes,yes,1,0,unknown,0
36,primary,1925,yes,no,2,0,unknown,1
34,tertiary,902,yes,no,1,2,other,0
61,secondary,5207,no,no,1,2,other,0
54,secondary,0,no,no,1,0,unknown,0
50,secondary,665,no,no,1,0,unknown,0
43,secondary,738,yes,no,4,4,failure,0
47,primary,233,no,no,3,0,unknown,0
45,secondary,-839,yes,no,1,0,unknown,0
57,primary,5799,no,no,1,0,unknown,0
27,secondary,1033,yes,no,1,0,unknown,0
49,secondary,66,no,no,3,0,unknown,0
43,primary,2567,yes,no,1,2,failure,0
40,tertiary,1584,yes,no,1,0,unknown,0
32,secondary,182,yes,no,1,0,unknown,0
58,primary,76,yes,no,4,0,unknown,0
34,secondary,663,yes,no,1,0,unknown,0
46,secondary,3455,yes,no,2,0,unknown,0
29,secondary,15,no,no,1,0,unknown,0
52,primary,1054,no,no,1,0,unknown,0
45,tertiary,1529,no,no,1,0,unknown,0
26,secondary,63,no,no,4,0,unknown,0
40,tertiary,0,no,no,1,0,unknown,0
41,secondary,920,yes,yes,1,0,unknown,0
47,secondary,3696,no,no,2,4,success,1
27,unknown,59,no,no,4,0,unknown,0
27,secondary,0,yes,no,13,0,unknown,0
48,secondary,157,yes,no,1,0,unknown,0
49,secondary,2465,no,no,3,0,unknown,0
35,primary,0,yes,no,6,0,unknown,0
47,secondary,2,no,no,2,0,unknown,0
54,tertiary,0,no,no,5,0,unknown,0
39,tertiary,12437,no,no,1,0,unknown,0
28,secondary,378,yes,no,1,0,unknown,0
54,primary,211,no,no,2,0,unknown,0
34,secondary,-228,yes,no,3,3,other,0
63,secondary,2747,no,no,1,1,failure,0
42,tertiary,1932,yes,no,32,0,unknown,0
43,secondary,11269,no,no,1,0,unknown,0
37,secondary,1314,yes,no,2,7,success,0
55,primary,2275,no,no,9,0,unknown,0
43,tertiary,1304,no,no,2,0,unknown,1
41,secondary,720,no,yes,1,0,unknown,1
47,secondary,2914,yes,no,13,0,unknown,0
34,secondary,1464,yes,no,1,0,unknown,0
28,secondary,11555,no,no,2,0,unknown,0
36,secondary,-302,yes,no,2,0,unknown,0
50,secondary,2497,yes,no,1,1,failure,0
35,secondary,-339,yes,no,2,0,unknown,0
40,secondary,56,yes,yes,1,1,failure,0
26,tertiary,211,no,no,3,0,unknown,0
36,tertiary,3611,yes,no,3,0,unknown,0
59,primary,0,no,no,2,0,unknown,0
28,secondary,459,no,no,13,0,unknown,0
46,unknown,242,yes,no,2,0,unknown,0
50,secondary,1138,no,no,10,0,unknown,0
53,tertiary,1319,yes,no,1,1,failure,0
81,secondary,1,no,no,5,0,unknown,0
35,secondary,67,yes,no,2,0,unknown,0
58,unknown,937,no,no,1,0,unknown,0
44,secondary,0,yes,yes,1,0,unknown,0
38,tertiary,-558,yes,no,1,0,unknown,0
49,secondary,171,no,no,3,2,other,0
33,tertiary,696,no,yes,1,8,failure,0
29,tertiary,361,yes,yes,3,0,unknown,0
28,secondary,227,no,no,1,0,unknown,1
31,secondary,236,yes,yes,3,0,unknown,0
33,tertiary,-53,no,no,2,0,unknown,0
52,secondary,192,yes,no,2,0,unknown,0
43,tertiary,38,yes,no,6,0,unknown,0
32,secondary,518,yes,no,7,0,unknown,0
36,tertiary,16,yes,yes,4,0,unknown,0
41,secondary,-256,yes,no,2,0,unknown,0
43,secondary,105,no,yes,2,0,unknown,0
45,tertiary,334,no,no,2,0,unknown,0
39,secondary,1048,no,yes,1,0,unknown,0
41,secondary,108,yes,yes,7,0,unknown,0
31,secondary,660,no,no,1,0,unknown,0
37,tertiary,0,yes,no,1,0,unknown,0
28,unknown,1034,no,no,1,0,unknown,0
47,primary,201,yes,no,2,1,failure,0
37,primary,189,no,no,4,0,unknown,0
60,unknown,-49,yes,no,1,2,failure,0
43,secondary,1413,yes,no,3,0,unknown,0
58,tertiary,264,yes,yes,3,0,unknown,0
52,tertiary,54,yes,yes,1,0,unknown,0
50,primary,12519,yes,no,2,4,success,0
32,secondary,2881,no,no,1,0,unknown,1
42,primary,0,yes,no,1,0,unknown,0
