Status,Duration,History,Credit amount,Installment rate,Present residence,Age,Existing credits,Number people,label
A11,6.0,A34,338.0,4.0,4.0,52.0,2.0,1.0,1
A14,12.0,A32,1963.0,4.0,2.0,31.0,2.0,2.0,1
A11,21.0,A34,571.0,4.0,4.0,65.0,2.0,1.0,1
A14,36.0,A33,9572.0,1.0,1.0,28.0,2.0,1.0,0
A12,36.0,A33,4455.0,2.0,2.0,30.0,2.0,1.0,0
A11,21.0,A31,1647.0,4.0,2.0,40.0,2.0,2.0,0
A14,24.0,A34,3777.0,4.0,4.0,50.0,1.0,1.0,1
A12,18.0,A34,884.0,4.0,4.0,36.0,1.0,2.0,0
A14,15.0,A34,1360.0,4.0,2.0,31.0,2.0,1.0,1
A12,9.0,A31,5129.0,2.0,4.0,74.0,1.0,2.0,0
A12,16.0,A34,1175.0,2.0,3.0,68.0,3.0,1.0,1
A11,12.0,A32,674.0,4.0,1.0,20.0,1.0,1.0,0
A12,18.0,A30,3244.0,1.0,4.0,33.0,2.0,1.0,1
A14,24.0,A32,4591.0,2.0,3.0,54.0,3.0,1.0,0
A12,48.0,A30,3844.0,4.0,4.0,34.0,1.0,2.0,0
A12,27.0,A32,3915.0,4.0,2.0,36.0,1.0,2.0,0
A14,6.0,A32,2108.0,2.0,2.0,29.0,1.0,1.0,1
A12,45.0,A32,3031.0,4.0,4.0,21.0,1.0,1.0,0
A12,9.0,A34,1501.0,2.0,3.0,34.0,2.0,1.0,0
A14,6.0,A34,1382.0,1.0,1.0,28.0,2.0,1.0,1
A12,12.0,A32,951.0,4.0,4.0,27.0,4.0,1.0,0
A12,24.0,A32,2760.0,4.0,4.0,36.0,1.0,1.0,1
A12,18.0,A33,4297.0,4.0,3.0,40.0,1.0,1.0,0
A14,9.0,A34,936.0,4.0,2.0,52.0,2.0,1.0,1
A11,12.0,A32,1168.0,4.0,3.0,27.0,1.0,1.0,1
A14,27.0,A33,5117.0,3.0,4.0,26.0,2.0,1.0,1
A11,12.0,A32,902.0,4.0,4.0,21.0,1.0,1.0,0
A14,12.0,A34,1495.0,4.0,1.0,38.0,2.0,2.0,1
A11,30.0,A34,10623.0,3.0,4.0,38.0,3.0,2.0,1
A14,12.0,A34,1935.0,4.0,4.0,43.0,3.0,1.0,1
A12,12.0,A34,1424.0,4.0,3.0,26.0,1.0,1.0,1
A11,24.0,A32,6568.0,2.0,2.0,21.0,1.0,1.0,1
A14,12.0,A32,1413.0,3.0,2.0,55.0,1.0,1.0,1
A14,9.0,A34,3074.0,1.0,2.0,33.0,2.0,2.0,1
A14,36.0,A32,3835.0,2.0,4.0,45.0,1.0,1.0,1
A11,27.0,A30,5293.0,2.0,4.0,50.0,2.0,1.0,0
A13,30.0,A33,1908.0,4.0,4.0,66.0,1.0,1.0,0
A14,36.0,A34,3342.0,4.0,2.0,51.0,1.0,1.0,1
A12,6.0,A34,932.0,1.0,3.0,39.0,2.0,1.0,1
A11,18.0,A30,3104.0,3.0,1.0,31.0,1.0,1.0,1
A13,36.0,A32,3913.0,2.0,2.0,23.0,1.0,1.0,1
A11,24.0,A32,3021.0,2.0,2.0,24.0,1.0,1.0,1
A14,10.0,A32,1364.0,2.0,4.0,64.0,1.0,1.0,1
A12,12.0,A32,625.0,4.0,1.0,26.0,1.0,1.0,1
A11,12.0,A32,1200.0,4.0,4.0,23.0,1.0,1.0,1
A14,12.0,A32,707.0,4.0,2.0,30.0,2.0,1.0,1
A14,24.0,A33,2978.0,4.0,4.0,32.0,2.0,2.0,1
A14,15.0,A32,4657.0,3.0,2.0,30.0,1.0,1.0,1
A14,36.0,A30,2613.0,4.0,2.0,27.0,2.0,1.0,1
A12,48.0,A32,10961.0,1.0,2.0,27.0,2.0,1.0,0
A11,12.0,A32,7865.0,4.0,4.0,53.0,1.0,1.0,0
A14,9.0,A32,1478.0,4.0,2.0,22.0,1.0,1.0,0
A11,24.0,A32,3149.0,4.0,1.0,22.0,1.0,1.0,1
A13,36.0,A32,4210.0,4.0,2.0,26.0,1.0,1.0,0
A14,9.0,A32,2507.0,2.0,4.0,51.0,1.0,1.0,1
A14,12.0,A32,2141.0,3.0,1.0,35.0,1.0,1.0,1
A12,18.0,A32,866.0,4.0,2.0,25.0,1.0,1.0,1
A14,4.0,A34,1544.0,2.0,1.0,42.0,3.0,2.0,1
A11,24.0,A32,1823.0,4.0,2.0,30.0,1.0,2.0,0
A12,6.0,A32,14555.0,1.0,2.0,23.0,1.0,1.0,0
A12,21.0,A32,2767.0,4.0,2.0,61.0,2.0,1.0,0
A14,12.0,A34,1291.0,4.0,2.0,35.0,2.0,1.0,1
A11,30.0,A32,2522.0,1.0,3.0,39.0,1.0,2.0,1
A11,24.0,A32,915.0,4.0,2.0,29.0,1.0,1.0,0
A14,6.0,A32,1595.0,3.0,2.0,51.0,1.0,2.0,1
A11,48.0,A30,4605.0,3.0,4.0,24.0,2.0,2.0,0
A14,12.0,A34,1185.0,3.0,2.0,27.0,2.0,1.0,1
A14,12.0,A31,3447.0,4.0,3.0,35.0,1.0,2.0,1
A14,24.0,A32,1258.0,4.0,1.0,25.0,1.0,1.0,1
A14,12.0,A34,717.0,4.0,4.0,52.0,3.0,1.0,1
A14,6.0,A30,1204.0,4.0,1.0,35.0,1.0,1.0,1
A13,24.0,A32,1925.0,2.0,2.0,26.0,1.0,1.0,1
A14,18.0,A32,433.0,3.0,4.0,22.0,1.0,1.0,0
A11,6.0,A34,666.0,3.0,4.0,39.0,2.0,1.0,1
A13,12.0,A32,2251.0,1.0,2.0,46.0,1.0,1.0,1
A12,30.0,A32,2150.0,4.0,2.0,24.0,1.0,1.0,0
A14,24.0,A33,4151.0,2.0,3.0,35.0,2.0,1.0,1
A12,9.0,A32,2030.0,2.0,1.0,24.0,1.0,1.0,1
A12,60.0,A33,7418.0,1.0,1.0,27.0,1.0,1.0,1
A14,24.0,A34,2684.0,4.0,2.0,35.0,2.0,1.0,1
A11,12.0,A31,2149.0,4.0,1.0,29.0,1.0,1.0,0
A14,15.0,A32,3812.0,1.0,4.0,23.0,1.0,1.0,1
A14,11.0,A34,1154.0,4.0,4.0,57.0,3.0,1.0,1
A11,12.0,A32,1657.0,2.0,2.0,27.0,1.0,1.0,1
A11,24.0,A32,1603.0,4.0,4.0,55.0,1.0,1.0,1
A11,18.0,A34,5302.0,2.0,4.0,36.0,3.0,1.0,1
A14,12.0,A34,2748.0,2.0,4.0,57.0,3.0,1.0,1
A14,10.0,A34,1231.0,3.0,4.0,32.0,2.0,2.0,1
A12,15.0,A32,802.0,4.0,3.0,37.0,1.0,2.0,0
A14,36.0,A34,6304.0,4.0,4.0,36.0,2.0,1.0,1
A14,24.0,A32,1533.0,4.0,3.0,38.0,1.0,1.0,1
A11,14.0,A32,8978.0,1.0,4.0,45.0,1.0,1.0,0
A14,24.0,A32,999.0,4.0,2.0,25.0,2.0,1.0,1
A14,18.0,A32,2662.0,4.0,3.0,32.0,1.0,1.0,1
A14,12.0,A34,1402.0,3.0,4.0,37.0,1.0,1.0,1
A12,48.0,A31,12169.0,4.0,4.0,36.0,1.0,1.0,1
A12,48.0,A32,3060.0,4.0,4.0,28.0,2.0,1.0,0
A11,30.0,A32,11998.0,1.0,1.0,34.0,1.0,1.0,0
A14,9.0,A32,2697.0,1.0,2.0,32.0,1.0,2.0,1
A14,18.0,A34,2404.0,2.0,2.0,26.0,2.0,1.0,1
A11,12.0,A32,1262.0,2.0,4.0,49.0,1.0,1.0,1
A14,6.0,A32,4611.0,1.0,4.0,32.0,1.0,1.0,0
A14,24.0,A32,1901.0,4.0,4.0,29.0,1.0,1.0,1
A14,15.0,A34,3368.0,3.0,4.0,23.0,2.0,1.0,1
A14,12.0,A32,1574.0,4.0,2.0,50.0,1.0,1.0,1
A13,18.0,A31,1445.0,4.0,4.0,49.0,1.0,1.0,1
A14,15.0,A34,1520.0,4.0,4.0,63.0,1.0,1.0,1
A12,24.0,A34,3878.0,4.0,2.0,37.0,1.0,1.0,1
A11,47.0,A32,10722.0,1.0,1.0,35.0,1.0,1.0,1
A11,48.0,A32,4788.0,4.0,3.0,26.0,1.0,2.0,1
A12,48.0,A33,7582.0,2.0,4.0,31.0,1.0,1.0,1
A12,12.0,A32,1092.0,4.0,4.0,49.0,2.0,1.0,1
A11,24.0,A33,1024.0,4.0,4.0,48.0,1.0,1.0,0
A14,12.0,A32,1076.0,2.0,2.0,26.0,1.0,1.0,1
A12,36.0,A32,9398.0,1.0,4.0,28.0,1.0,1.0,0
A11,24.0,A34,6419.0,2.0,4.0,44.0,2.0,2.0,1
A13,42.0,A34,4796.0,4.0,4.0,56.0,1.0,1.0,1
A14,48.0,A34,7629.0,4.0,2.0,46.0,2.0,2.0,1
A12,48.0,A32,9960.0,1.0,2.0,26.0,1.0,1.0,0
A14,12.0,A32,4675.0,1.0,4.0,20.0,1.0,1.0,1
A14,10.0,A32,1287.0,4.0,2.0,45.0,1.0,1.0,1
A14,18.0,A32,2515.0,3.0,4.0,43.0,1.0,1.0,1
A12,21.0,A34,2745.0,3.0,2.0,32.0,2.0,1.0,1
A14,6.0,A32,672.0,1.0,4.0,54.0,1.0,1.0,1
A12,36.0,A30,3804.0,4.0,1.0,42.0,1.0,1.0,0
A13,24.0,A34,1344.0,4.0,2.0,37.0,2.0,2.0,0
A11,10.0,A34,1038.0,4.0,3.0,49.0,2.0,1.0,1
A14,48.0,A34,10127.0,2.0,2.0,44.0,1.0,1.0,0
A14,6.0,A32,1543.0,4.0,2.0,33.0,1.0,1.0,1
A14,30.0,A32,4811.0,2.0,4.0,24.0,1.0,1.0,1
A11,12.0,A32,727.0,4.0,3.0,33.0,1.0,1.0,0
A12,8.0,A32,1237.0,3.0,4.0,24.0,1.0,1.0,0
A12,9.0,A32,276.0,4.0,4.0,22.0,1.0,1.0,1
A12,48.0,A32,5381.0,3.0,4.0,40.0,1.0,1.0,1
A14,24.0,A32,5511.0,4.0,1.0,25.0,1.0,1.0,1
A13,24.0,A32,3749.0,2.0,4.0,26.0,1.0,1.0,1
A12,12.0,A32,685.0,2.0,3.0,25.0,1.0,1.0,0
A13,4.0,A32,1494.0,1.0,2.0,29.0,1.0,2.0,1
A11,36.0,A31,2746.0,4.0,4.0,31.0,1.0,1.0,0
A11,12.0,A32,708.0,2.0,3.0,38.0,1.0,2.0,1
A12,24.0,A32,4351.0,1.0,4.0,48.0,1.0,1.0,1
A14,12.0,A34,701.0,4.0,2.0,32.0,2.0,1.0,1
A11,15.0,A33,3643.0,1.0,4.0,27.0,2.0,1.0,1
A12,30.0,A34,4249.0,4.0,2.0,28.0,2.0,1.0,0
A11,24.0,A32,1938.0,4.0,3.0,32.0,1.0,1.0,0
A11,24.0,A32,2910.0,2.0,1.0,34.0,1.0,1.0,1
A11,18.0,A32,2659.0,4.0,2.0,28.0,1.0,1.0,1
A14,18.0,A34,1028.0,4.0,3.0,36.0,2.0,1.0,1
A11,8.0,A34,3398.0,1.0,4.0,39.0,2.0,1.0,1
A14,12.0,A34,5801.0,2.0,4.0,49.0,1.0,1.0,1
A14,24.0,A32,1525.0,4.0,3.0,34.0,1.0,2.0,1
A13,36.0,A32,4473.0,4.0,2.0,31.0,1.0,1.0,1
A12,6.0,A32,1068.0,4.0,4.0,28.0,1.0,2.0,1
A11,24.0,A34,6615.0,2.0,4.0,75.0,2.0,1.0,1
A14,18.0,A34,1864.0,4.0,2.0,30.0,2.0,1.0,0
A12,60.0,A32,7408.0,4.0,2.0,24.0,1.0,1.0,0
A14,48.0,A34,11590.0,2.0,4.0,24.0,2.0,1.0,0
A11,24.0,A30,4110.0,3.0,4.0,23.0,2.0,2.0,0
A11,6.0,A34,3384.0,1.0,4.0,44.0,1.0,1.0,0
A12,13.0,A32,2101.0,2.0,4.0,23.0,1.0,1.0,1
A11,15.0,A32,1275.0,4.0,2.0,24.0,1.0,1.0,0
A11,24.0,A32,4169.0,4.0,4.0,28.0,1.0,1.0,1
A12,10.0,A32,1521.0,4.0,2.0,31.0,1.0,1.0,1
A12,24.0,A34,5743.0,2.0,4.0,24.0,2.0,1.0,1
A11,21.0,A32,3599.0,1.0,4.0,26.0,1.0,1.0,1
A12,18.0,A32,3213.0,1.0,3.0,25.0,1.0,1.0,1
A12,18.0,A32,4439.0,1.0,1.0,33.0,1.0,1.0,1
A13,10.0,A32,3949.0,1.0,1.0,37.0,1.0,2.0,1
A14,15.0,A34,1459.0,4.0,2.0,43.0,1.0,1.0,1
A12,13.0,A34,882.0,4.0,4.0,23.0,2.0,1.0,1
A12,24.0,A32,3758.0,1.0,4.0,23.0,1.0,1.0,1
A14,6.0,A33,1743.0,1.0,2.0,34.0,2.0,1.0,1
A12,9.0,A34,1136.0,4.0,3.0,32.0,2.0,2.0,0
A14,9.0,A32,1236.0,1.0,4.0,23.0,1.0,1.0,1
A12,9.0,A32,959.0,1.0,2.0,29.0,1.0,1.0,0
A14,18.0,A34,3229.0,2.0,4.0,38.0,1.0,1.0,1
A11,12.0,A30,6199.0,4.0,2.0,28.0,2.0,1.0,0
A14,10.0,A32,727.0,4.0,4.0,46.0,1.0,1.0,1
A12,24.0,A32,1246.0,4.0,2.0,23.0,1.0,1.0,0
A14,12.0,A34,2331.0,1.0,4.0,49.0,1.0,1.0,1
A14,36.0,A33,4463.0,4.0,2.0,26.0,2.0,1.0,0
A14,12.0,A32,776.0,4.0,2.0,28.0,1.0,1.0,1
A11,30.0,A32,2406.0,4.0,4.0,23.0,1.0,1.0,0
A12,18.0,A32,1239.0,4.0,4.0,61.0,1.0,1.0,1
A13,12.0,A32,3399.0,2.0,3.0,37.0,1.0,1.0,1
A13,12.0,A33,2247.0,2.0,2.0,36.0,2.0,1.0,1
A14,6.0,A32,1766.0,1.0,2.0,21.0,1.0,1.0,1
A11,18.0,A32,2473.0,4.0,1.0,25.0,1.0,1.0,0
A14,12.0,A32,1542.0,2.0,4.0,36.0,1.0,1.0,1
A14,18.0,A34,3850.0,3.0,1.0,27.0,2.0,1.0,1
A11,18.0,A32,3650.0,1.0,4.0,22.0,1.0,1.0,1
A11,36.0,A32,3446.0,4.0,2.0,42.0,1.0,2.0,0
A12,18.0,A32,3001.0,2.0,4.0,40.0,1.0,1.0,1
A14,36.0,A32,3079.0,4.0,4.0,36.0,1.0,1.0,1
A14,18.0,A34,6070.0,3.0,4.0,33.0,2.0,1.0,1
A14,10.0,A34,2146.0,1.0,3.0,23.0,2.0,1.0,1
A14,60.0,A34,13756.0,2.0,4.0,63.0,1.0,1.0,1
A12,60.0,A31,14782.0,3.0,4.0,60.0,2.0,1.0,0
A11,48.0,A31,7685.0,2.0,4.0,37.0,1.0,1.0,0
A14,18.0,A33,2320.0,2.0,3.0,34.0,2.0,1.0,1
